nc1-8_1_2,nc1-8_2_1,nc1-8_2_2,nc1-8_1_1,s10-12_1_1,s10-12_1_2,s10-12_2_1,s10-12_2_2,nc14_1_1,nc14_1_2,nc14_2_1,nc14_2_2,nc14.FED_1_1,nc14.FED_1_2,nc14.FED.rerun_1_1,nc14.FED.rerun_1_2,nc12.mitotic.FED_1_1,nc12.mitotic.FED_1_2,nc12.mitotic.FED.rerun_1_1,nc12.mitotic.FED.rerun_1_2
1.1256959236914768,0.3286452719715189,0.26048279748164693,0.6628291864249102,0.9348148752976967,1.0025252033624708,0.6411027710043795,0.722826369800219,0.9801743710421742,1.208317626224904,1.5357214971239532,0.5779765581180591,1.455098405131266,1.505472490938521,0.9281922895401674,0.8900864707867449,1.4815613906530056,1.7224254072654992,0.9528210186392321,1.0832300755021531
1.6489273369199728,0.46924460465649387,0.38508007596489746,0.9364131953469801,0.9341481573963875,1.020945290112322,0.6461280053135479,0.7428790746115586,0.8668165739421535,1.0319475742163176,1.3169204279952924,0.4915185774058533,1.0701619966822304,1.102660463265098,0.6781989888000098,0.6439463324927317,1.7065666514392799,1.9839797888678163,1.0857055306403651,1.2378113539306843
0.9221881087806342,0.2569367687462342,0.2147638678569754,0.5084709115394441,0.9364684202864185,1.0284004517939898,0.6497120997113677,0.7368338132174381,1.2401718088210893,1.4597888448748635,1.845897491247944,0.6601664095850646,2.035668413821674,2.127217708688227,1.3032167899220843,1.2295231373513908,0.8007919959629004,0.9469565936333753,0.5101553359684907,0.5866710281903942
1.4751025211786293,0.43856896085787006,0.3415051731175891,0.8796391651410586,0.9485752963562639,1.0172456846261857,0.6539644286590466,0.738482651399281,0.8385896047632632,1.0417365105401795,1.3262734844435013,0.5006028676897486,1.0913999615690118,1.1239969478118628,0.6899140389568764,0.6614068895280094,1.7657919525862429,2.052616394724967,1.1324086018563093,1.2821788641941045
1.2719164444142608,0.36735037011369914,0.2916734222299206,0.7409593239203526,0.9396387424912848,0.995638678262121,0.6417928461168609,0.719939389423004,0.8990353923731171,1.1081724889363525,1.4040032975347725,0.5360364397555637,1.2666178096482712,1.3125808799278358,0.8005348435214495,0.7713753002444741,1.676904784861978,1.9630146879184556,1.069340704828551,1.2234741534776743
0.9880982622747675,0.2882909099612895,0.22657611866309527,0.5771620661155207,0.9173427881527576,0.9955224500837649,0.6346718109135159,0.7213576511962527,1.1781428697063354,1.4022186253112323,1.7957875116057318,0.6569727108770246,2.020271069924352,2.021934310810849,1.2620618328860524,1.1920218421076099,0.8855887608067952,1.0276748667338789,0.5660071634583151,0.6422963784108546
1.775655102084519,0.510699383236205,0.41300251638263713,1.021005845245337,0.9540505909047355,1.0414963484579214,0.6633699360774623,0.760465301149202,0.8473793137285636,1.0461029369339336,1.3329492499401845,0.49415473891170275,1.0194429319483629,1.0474839895001145,0.6462162491513286,0.6154642165768444,1.6455577915942474,1.9231133717127693,1.0492496115708652,1.19314057489306
0.8990299754366101,0.24639008540452903,0.20664082240979859,0.4930286197118853,0.9482225237817442,1.0161002842130638,0.6499971482392448,0.7422628404451922,1.2928981187991635,1.4598292965624382,1.885024402501336,0.6568138228257536,2.0681875916930177,2.2299415650663184,1.3811827708993836,1.2775050414233795,0.7181353538530728,0.840238008379789,0.4644782470096859,0.5240934813445913
0.8456315923128498,0.24096509003057645,0.19366129547133545,0.48177543933904937,0.9557802007147084,1.0232175964315176,0.6532898721785068,0.7345717655495295,1.2938730126818736,1.4980079825082744,1.8437016718700396,0.6566125857356861,2.089417524779255,2.1916357988074986,1.3378321524796253,1.2978560723264132,0.7470657236228396,0.886571331949455,0.4813062026548046,0.5472270885561615
1.1511493775206805,0.335545927076644,0.26649485236491793,0.6752945351025783,0.9426130930566828,1.0010952167759646,0.6460897016752291,0.713640206274809,0.9534604117608592,1.1852247816878199,1.4895894233944509,0.5660715715175546,1.4225026471203157,1.4715343117707667,0.8903797070986423,0.8522130942320679,1.5328053854676276,1.7993903492389067,0.9847433204509222,1.1201620864125585
