nc1-8_1_2,nc1-8_2_1,nc1-8_2_2,nc1-8_1_1,s10-12_1_1,s10-12_1_2,s10-12_2_1,s10-12_2_2,nc14_1_1,nc14_1_2,nc14_2_1,nc14_2_2,nc14.FED_1_1,nc14.FED_1_2,nc14.FED.rerun_1_1,nc14.FED.rerun_1_2,nc12.mitotic.FED_1_1,nc12.mitotic.FED_1_2,nc12.mitotic.FED.rerun_1_1,nc12.mitotic.FED.rerun_1_2,shifted,places
8,49,28,24,23,12,32,27,4,7,6,19,10,6,9,9,4,2,8,4,0,3L_12608800_12611200_3L_12692000_12694400
7,24,23,22,22,15,22,23,6,13,8,17,4,9,5,7,4,4,12,7,0,2R_23703200_23705600_2R_23809600_23812000
8,46,49,27,26,17,28,33,17,18,16,24,10,12,21,27,6,4,17,9,0,2R_9400000_9402400_2R_9422400_9424800
19,138,114,82,68,71,88,104,53,51,44,82,66,60,110,110,15,7,17,13,0,3L_15699200_15701600_3L_15728000_15730400
27,90,129,46,48,61,70,91,68,51,43,126,59,59,80,88,17,10,22,12,0,3R_16957600_16960000_3R_16968000_16970400
5,6,10,2,8,7,4,2,2,2,2,7,1,1,2,4,3,2,1,5,0,3R_10904800_10907200_3R_11144800_11147200
2,13,8,7,4,1,3,6,1,1,0,0,0,0,0,1,0,0,1,1,0,3R_25646400_25648800_3R_25880000_25882400
14,51,70,19,10,21,17,23,18,16,10,22,38,22,36,29,15,19,18,32,0,X_5978400_5980800_X_5992000_5994400
8,38,37,21,19,25,24,30,16,9,8,10,8,12,12,13,6,5,8,6,0,2L_18713600_18716000_2L_18775200_18777600
27,112,72,39,86,88,111,128,27,22,16,56,13,18,31,43,23,11,18,16,0,2R_24341600_24344000_2R_24368800_24371200
6,19,23,4,2,4,7,5,5,2,1,3,0,0,0,2,0,2,2,1,0,4_609600_612000_4_660000_662400
3,9,7,6,3,2,4,3,1,0,0,1,0,0,2,2,0,1,1,1,0,2L_5545600_5548000_2L_5798400_5800800
4,21,11,15,6,10,8,16,2,4,2,2,2,0,7,3,2,1,5,1,0,3R_16733600_16736000_3R_16828800_16831200
47,161,163,86,169,141,242,187,181,145,94,297,171,146,318,292,70,64,105,112,0,3L_14763200_14765600_3L_14772800_14775200
25,161,113,88,63,70,101,101,24,28,24,61,20,23,29,32,14,5,24,16,0,2R_6220000_6222400_2R_6234400_6236800
24,86,92,44,66,34,93,55,20,29,18,46,24,24,31,40,14,12,23,17,0,3L_13390400_13392800_3L_13408800_13411200
26,105,97,40,65,47,71,76,20,43,28,55,26,26,39,38,18,18,26,23,0,2R_13483200_13485600_2R_13504800_13507200
4,22,18,15,23,11,22,21,36,22,24,45,22,25,35,54,6,6,10,11,0,2R_12064800_12067200_2R_12136000_12138400
10,45,32,20,18,24,37,27,25,33,21,45,34,28,58,79,7,6,7,8,0,3R_22838400_22840800_3R_22896800_22899200
22,90,89,44,53,51,69,57,27,28,18,42,24,7,33,25,12,9,15,9,0,3R_6406400_6408800_3R_6424000_6426400
4,13,21,9,3,13,7,12,6,4,5,12,2,6,7,5,3,0,4,2,0,X_6385600_6388000_X_6488800_6491200
55,194,207,102,128,133,191,175,95,78,66,171,122,89,151,165,43,38,71,54,0,2R_5653600_5656000_2R_5660800_5663200
5,23,28,13,14,19,19,25,24,27,19,55,23,28,42,54,12,6,12,11,0,3R_7303200_7305600_3R_7344800_7347200
66,310,265,159,213,190,310,241,119,138,119,262,118,130,237,217,93,56,97,92,0,3R_21364800_21367200_3R_21371200_21373600
12,42,30,20,16,19,26,28,20,14,6,24,13,14,26,26,3,5,8,6,0,2L_2611200_2613600_2L_2676000_2678400
19,92,100,47,112,83,151,113,102,86,79,190,92,107,151,142,30,28,72,48,0,2R_7974400_7976800_2R_7985600_7988000
13,61,47,22,89,81,116,111,34,16,18,33,27,9,28,55,8,3,7,5,0,X_9692800_9695200_X_9728800_9731200
6,23,37,9,7,17,21,15,7,2,3,6,2,4,5,6,2,1,4,2,0,X_10086400_10088800_X_10115200_10117600
19,46,56,15,16,27,33,38,12,11,12,21,16,12,13,22,4,6,4,6,0,X_8517600_8520000_X_8532800_8535200
4,12,17,7,21,7,23,22,16,7,8,19,5,9,10,19,3,5,1,4,0,X_8280000_8282400_X_8387200_8389600
6,15,17,6,8,10,8,10,2,1,1,4,2,3,3,9,2,3,5,10,0,3R_4979200_4981600_3R_5120000_5122400
14,73,68,41,25,16,36,36,13,18,12,31,7,10,20,25,6,12,10,14,0,3L_456800_459200_3L_489600_492000
7,6,13,5,3,1,8,2,3,1,1,7,0,1,0,0,1,2,2,1,0,2L_626400_628800_2L_807200_809600
9,37,38,26,28,19,38,28,22,20,16,22,9,18,24,28,5,4,7,6,0,2L_9018400_9020800_2L_9070400_9072800
3,3,5,4,4,1,6,5,0,1,1,1,1,1,0,0,1,0,6,3,0,2L_12711200_12713600_2L_13176000_13178400
4,8,10,3,5,5,11,6,6,5,6,7,3,3,1,6,1,2,6,1,0,3R_10964800_10967200_3R_11084800_11087200
10,29,41,17,28,24,48,32,6,2,5,7,6,10,12,10,8,6,17,7,0,X_18084800_18087200_X_18136000_18138400
5,6,7,3,8,6,9,8,4,3,4,11,4,0,5,5,3,2,5,1,0,3R_25707200_25709600_3R_25843200_25845600
34,82,146,34,37,48,57,64,43,41,47,81,48,51,88,80,17,12,24,23,0,2L_15732000_15734400_2L_15740800_15743200
1,15,14,7,8,9,12,9,2,2,1,0,1,1,0,2,1,1,1,1,0,3R_28888000_28890400_3R_29038400_29040800
20,71,93,37,76,61,114,104,58,65,48,116,40,44,75,83,30,31,49,42,0,X_17636000_17638400_X_17648800_17651200
41,272,197,129,269,254,385,339,227,201,175,511,236,218,378,382,166,106,230,181,0,X_13413600_13416000_X_13418400_13420800
58,191,244,113,108,101,155,139,126,92,63,154,125,130,196,186,43,33,67,63,0,2R_19415200_19417600_2R_19420000_19422400
4,38,16,11,14,19,35,18,0,1,1,2,4,2,3,2,1,0,4,6,0,2R_11455200_11457600_2R_11580000_11582400
85,346,460,158,262,273,404,354,367,312,221,590,445,404,746,714,164,129,256,209,0,2R_12163200_12165600_2R_12166400_12168800
13,67,80,51,39,39,59,52,16,22,20,44,30,16,29,26,17,14,16,22,0,3R_26536000_26538400_3R_26555200_26557600
0,18,7,7,6,6,16,7,1,4,2,2,1,0,0,1,0,0,1,3,0,3R_29318400_29320800_3R_29489600_29492000
8,58,50,29,29,17,34,25,28,17,16,34,29,21,32,52,4,3,7,8,0,X_7160800_7163200_X_7240800_7243200
31,98,110,40,75,66,109,79,74,54,44,148,65,54,107,114,24,26,49,41,0,X_2080800_2083200_X_2091200_2093600
3,8,10,4,10,4,11,9,0,1,1,1,0,1,0,1,2,0,1,0,0,X_10086400_10088800_X_10211200_10213600
36,101,186,52,104,119,150,125,141,148,116,312,212,207,322,355,45,47,74,71,0,3R_6852000_6854400_3R_6871200_6873600
13,55,46,30,33,26,49,40,10,7,7,7,6,6,9,11,2,3,2,7,0,X_7014400_7016800_X_7065600_7068000
2,15,17,8,2,2,5,3,1,0,0,0,1,0,0,1,2,3,1,4,0,2L_10231200_10233600_2L_10386400_10388800
25,123,113,64,79,70,108,80,71,71,62,117,112,103,153,187,9,16,24,28,0,3R_6848000_6850400_3R_6892000_6894400
3,51,39,32,41,38,88,72,32,24,13,53,28,28,44,53,11,7,13,10,0,2L_2382400_2384800_2L_2419200_2421600
16,91,64,42,19,22,32,33,11,13,8,18,6,7,14,18,3,3,5,1,0,2L_12616800_12619200_2L_12654400_12656800
2,16,13,8,8,15,11,12,0,0,1,1,1,1,2,1,4,1,5,4,0,X_18504800_18507200_X_18773600_18776000
3,15,11,5,7,2,8,8,2,1,1,4,1,0,4,1,4,3,4,4,0,2R_18971200_18973600_2R_19138400_19140800
1,12,11,6,2,1,5,3,1,0,0,2,0,0,1,1,1,0,3,1,0,3R_6008000_6010400_3R_6169600_6172000
38,249,188,128,238,215,355,282,243,174,156,371,221,230,346,360,98,106,179,148,0,3R_12413600_12416000_3R_12420000_12422400
4,8,9,8,5,6,6,5,2,2,1,3,1,0,0,1,1,0,0,1,0,X_11153600_11156000_X_11324000_11326400
1,15,10,11,4,1,4,5,1,0,0,4,0,1,2,1,0,2,0,2,0,3L_19635200_19637600_3L_19789600_19792000
1,5,8,2,4,4,7,4,1,0,3,3,0,1,1,3,2,0,4,0,0,2L_11582400_11584800_2L_11882400_11884800
30,123,97,51,104,106,162,128,111,88,80,180,112,113,164,192,40,30,54,50,0,3R_17720000_17722400_3R_17730400_17732800
11,54,43,21,43,39,74,56,20,15,12,35,33,41,44,44,7,7,16,7,0,X_17344800_17347200_X_17396000_17398400
16,93,76,53,97,85,137,122,79,58,48,113,79,69,142,151,20,20,31,17,0,3R_13876000_13878400_3R_13900800_13903200
23,48,58,29,21,29,30,30,27,27,13,34,8,17,24,27,7,5,12,7,0,3R_4749600_4752000_3R_4772800_4775200
12,47,39,23,41,36,57,30,37,34,28,72,26,36,40,36,9,5,22,15,0,2R_22811200_22813600_2R_22848000_22850400
35,168,109,92,98,71,130,114,74,75,61,150,84,78,130,152,40,42,71,58,0,3R_12678400_12680800_3R_12689600_12692000
10,35,44,17,17,21,32,28,10,12,4,23,16,16,16,24,6,5,7,6,0,3R_6912800_6915200_3R_6964800_6967200
35,116,160,49,54,61,92,97,47,29,25,65,40,43,59,68,11,19,22,24,0,X_8410400_8412800_X_8420000_8422400
16,35,65,18,32,37,45,43,26,29,33,54,27,22,31,41,9,9,18,14,0,X_3812800_3815200_X_3832000_3834400
3,17,16,11,3,3,3,3,1,2,3,1,0,0,2,2,0,0,1,3,0,X_4936800_4939200_X_5083200_5085600
4,19,29,5,3,3,3,7,2,2,3,4,2,3,2,0,4,0,1,3,0,2R_25075200_25077600_2R_25188800_25191200
2,10,13,5,5,8,7,13,10,4,0,15,3,5,3,3,3,2,2,3,0,X_6402400_6404800_X_6484000_6486400
35,149,173,86,143,100,199,146,138,122,107,217,105,113,198,198,42,34,60,66,0,2L_16288800_16291200_2L_16296800_16299200
4,60,53,32,24,25,32,33,17,14,12,33,16,12,14,25,7,11,14,5,0,3R_17000800_17003200_3R_17040800_17043200
1,7,8,2,7,7,11,5,2,3,1,7,0,1,2,4,3,1,1,3,0,X_20256800_20259200_X_20364000_20366400
17,123,60,53,74,71,112,98,24,17,13,24,30,30,50,59,8,5,9,2,0,3L_6788800_6791200_3L_6903200_6905600
5,10,21,7,5,7,12,11,4,6,5,5,1,4,8,5,0,2,5,3,0,2L_3888800_3891200_2L_4017600_4020000
22,168,115,91,76,82,115,121,39,42,24,53,43,41,63,68,17,12,14,19,0,2R_22241600_22244000_2R_22269600_22272000
11,85,87,45,16,15,24,18,34,22,17,39,72,29,80,58,43,43,77,56,0,X_8256000_8258400_X_8368800_8371200
5,12,10,2,4,6,9,8,7,0,1,8,3,5,3,4,0,2,2,3,0,3R_7345600_7348000_3R_7808800_7811200
18,87,115,45,14,19,30,28,17,6,9,17,8,8,13,11,7,16,12,16,0,3R_13645600_13648000_3R_13659200_13661600
6,25,42,12,9,10,18,17,52,29,24,62,43,34,47,64,6,5,7,9,0,2L_19819200_19821600_2L_19859200_19861600
7,13,19,5,5,4,6,3,0,0,0,1,0,1,1,0,0,0,5,0,0,3R_31060000_31062400_3R_31218400_31220800
37,225,180,107,71,87,107,117,28,30,28,63,20,31,66,52,14,11,24,26,0,2R_11592000_11594400_2R_11603200_11605600
12,89,62,37,53,40,57,64,10,6,4,9,15,19,21,21,1,4,3,4,0,3L_11247200_11249600_3L_11428000_11430400
16,43,62,23,21,22,29,31,30,15,14,45,26,27,41,40,11,10,21,15,0,X_11630400_11632800_X_11651200_11653600
6,38,29,20,20,11,20,13,10,8,7,16,19,14,28,22,3,4,6,8,0,3R_12847200_12849600_3R_12914400_12916800
1,1,6,1,1,1,2,2,2,1,0,5,0,1,1,2,0,0,1,1,0,X_15874400_15876800_X_16382400_16384800
9,55,30,35,20,22,32,30,4,3,4,8,3,4,10,12,3,4,6,5,0,3R_11253600_11256000_3R_11371200_11373600
5,10,19,5,7,7,5,10,9,4,1,8,9,10,15,8,4,3,9,12,0,X_5774400_5776800_X_5865600_5868000
7,23,31,11,12,12,18,19,16,12,12,32,15,18,28,19,7,6,10,7,0,3R_6910400_6912800_3R_6972800_6975200
10,27,27,9,10,11,20,25,5,8,6,13,5,6,6,15,3,7,2,4,0,2R_11709600_11712000_2R_11809600_11812000
6,18,21,12,9,10,9,12,5,4,7,11,5,0,10,5,3,2,2,0,0,2L_5564800_5567200_2L_5656800_5659200
2,4,11,1,6,2,4,2,4,1,1,2,0,1,3,5,2,2,5,2,0,X_843200_845600_X_1285600_1288000
34,163,167,77,95,115,135,158,40,42,23,83,50,54,66,75,12,6,27,24,0,2L_19134400_19136800_2L_19156800_19159200
69,211,291,104,197,171,293,213,223,166,150,378,217,217,328,385,75,83,117,106,0,2R_12337600_12340000_2R_12341600_12344000
57,280,274,141,307,293,479,365,171,176,150,383,209,207,328,351,118,107,178,151,0,3R_7094400_7096800_3R_7100000_7102400
12,84,91,43,64,67,96,97,18,11,12,17,18,11,27,38,8,3,17,8,0,X_17751200_17753600_X_17818400_17820800
9,19,29,9,13,8,18,9,2,3,2,12,1,2,10,6,1,0,3,0,0,X_20631200_20633600_X_20758400_20760800
19,52,68,32,66,61,93,67,59,44,42,86,55,47,80,86,21,18,43,25,0,3R_21158400_21160800_3R_21176800_21179200
27,117,104,58,74,84,102,131,93,52,41,97,48,53,99,89,10,10,7,16,0,2R_15010400_15012800_2R_15107200_15109600
2,26,24,10,7,5,6,12,4,3,2,2,1,0,8,1,0,0,2,1,0,4_313600_316000_4_358400_360800
11,52,37,27,10,10,7,17,4,7,6,8,4,3,1,6,1,2,1,1,0,2L_12586400_12588800_2L_12654400_12656800
6,34,30,9,25,16,23,31,14,11,6,26,18,14,28,32,5,4,10,5,0,3R_9275200_9277600_3R_9324800_9327200
8,32,46,26,11,15,15,22,9,5,9,11,4,4,8,8,4,4,9,5,0,X_13212800_13215200_X_13256000_13258400
51,272,247,135,290,231,390,329,219,183,146,410,232,241,369,368,129,92,191,185,0,3R_23772800_23775200_3R_23778400_23780800
4,25,37,11,12,7,15,11,8,5,7,11,12,3,17,16,12,7,14,8,0,X_5711200_5713600_X_5844800_5847200
13,29,53,11,32,21,40,37,34,22,15,44,23,17,40,31,11,6,9,15,0,X_7113600_7116000_X_7137600_7140000
23,106,136,62,93,85,138,99,90,70,63,159,98,98,148,168,26,23,51,45,0,2L_16335200_16337600_2L_16347200_16349600
52,299,226,131,319,268,489,368,174,212,164,420,208,220,317,366,153,119,252,191,0,2R_11583200_11585600_2R_11588800_11591200
4,29,31,18,5,9,12,7,6,4,5,16,5,0,2,1,6,4,5,6,0,3L_7911200_7913600_3L_7977600_7980000
23,150,115,74,96,79,142,103,18,25,24,44,22,27,52,43,7,2,8,7,0,2L_21827200_21829600_2L_21898400_21900800
11,84,59,52,23,28,35,28,17,8,4,12,11,7,15,11,6,2,8,7,0,3R_17919200_17921600_3R_17942400_17944800
16,75,86,35,41,36,56,37,9,12,7,24,10,8,13,13,4,2,10,6,0,X_3135200_3137600_X_3160800_3163200
47,243,219,120,219,207,317,251,163,137,92,276,191,152,253,277,78,84,147,121,0,2R_14860800_14863200_2R_14867200_14869600
23,89,107,49,110,104,143,141,109,61,51,107,103,93,156,153,18,16,28,43,0,3R_16403200_16405600_3R_16412800_16415200
15,62,46,30,80,83,126,100,21,24,16,62,25,32,46,42,15,15,26,22,0,X_1664800_1667200_X_1693600_1696000
7,16,18,6,8,16,16,15,7,4,6,12,7,6,10,9,3,1,4,2,0,4_704000_706400_4_842400_844800
8,53,28,23,13,25,40,30,2,2,1,10,2,3,7,4,1,0,3,4,0,3L_18303200_18305600_3L_18439200_18441600
7,71,45,30,27,37,44,46,30,26,16,46,18,22,29,47,13,1,16,16,0,2L_3421600_3424000_2L_3440000_3442400
26,82,73,45,41,31,53,39,24,32,22,71,34,31,58,61,9,9,21,18,0,3R_16187200_16189600_3R_16203200_16205600
4,7,8,3,5,8,6,8,4,4,2,6,1,3,3,3,0,2,0,3,0,X_6378400_6380800_X_6509600_6512000
44,150,142,76,118,114,174,151,123,103,92,241,159,134,212,243,34,28,52,57,0,3R_8180800_8183200_3R_8189600_8192000
44,154,150,90,172,197,238,254,128,123,90,203,140,144,245,228,33,38,63,54,0,2R_8018400_8020800_2R_8029600_8032000
